Symbol,Description,Asset_Category,Position,Market_Price,Market_Value,Cost_Basis,Unrealized_PnL,Weight_Percent
AAP,ADVANCE AUTO PARTS INC,STK,10,58.7,587.0,913.52,-326.52,5.87
ALB,ALBEMARLE CORP,STK,7,81.84,572.88,1214.17,-641.29,5.73
EL,ESTEE LAUDER COMPANIES-CL A,STK,6,87.8,526.8,858.16,-331.36,5.27
EPAM,EPAM SYSTEMS INC,STK,4,156.2,624.8,994.52,-369.72,6.25
EW,EDWARDS LIFESCIENCES CORP,STK,8,74.41,595.28,642.0,-46.72,5.95
GGB,GERDAU SA -SPON ADR,STK,182,3.11,566.02,527.81,38.21,5.66
HAL,HALLIBURTON CO,STK,25,22.51,562.75,673.44,-110.69,5.63
NKE,NIKE INC -CL B,STK,8,70.89,567.12,589.68,-22.56,5.67
NVO,NOVO-NORDISK A/S-SPONS ADR,STK,9,61.4,552.6,670.28,-117.68,5.53
PVH,PVH CORP,STK,7,86.53,605.71,609.86,-4.15,6.06
PYPL,PAYPAL HOLDINGS INC,STK,8,68.22,545.76,544.22,1.54,5.46
SEE,SEALED AIR CORP,STK,17,34.1,579.7,583.48,-3.78,5.8
TGT,TARGET CORP,STK,6,88.13,528.78,643.78,-115.0,5.29
VALE,VALE  SA-SP ADR,STK,52,10.86,564.72,635.54,-70.82,5.65
VFC,VF  CORP,STK,39,14.44,563.16,733.0,-169.84,5.63
CASH,Cash Position,CASH,1,3085.29,3085.29,3085.29,0.0,27.271955838611163
